"CODIGOIATA","NOMBRE","CODIGOMUNICIPIO"
"AGP","Aeropuerto de Málaga-Costa del Sol","29067"
"BCN","Aeropuerto de Barcelona-El Prat","8019"
"MAD","Aeropuerto Adolfo Suárez Madrid-Barajas","28079"
"MLN","Aeropuerto de Melilla","52001"
"PNA","Aeropuerto de Pamplona","31201"
"REU","Aeropuerto de Reus","43123"
"TFN","Aeropuerto de Tenerife Norte","38028"
"VLC","Aeropuerto de Valencia","46159"
"XRY","Aeropuerto de Jerez","11020"
"ZAZ","Aeropuerto de Zaragoza","50297"
"VGO","Aeropuerto de Vigo","36057"
"OVD","Aeropuerto de Asturias","33016"
